word,meaning,image 
quail,"{'Noun': ['flesh of quail; suitable for roasting or broiling if young; otherwise must be braised', 'small gallinaceous game birds'], 'Verb': ['draw back, as with fear or pain']}",
quaintness,"{'Noun': ['the quality of being quaint and old-fashioned', 'strangeness as a consequence of being old fashioned']}",
quandary,"{'Noun': ['a situation from which extrication is difficult especially an unpleasant or trying one', 'state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options']}",
quarn,,
quant,,
quartz,"{'Noun': ['colorless glass made of almost pure silica', 'a hard glossy mineral consisting of silicon dioxide in crystal form; present in most rocks (especially sandstone and granite']}",
quaver,"{'Noun': ['a tremulous sound', 'a musical note having the time value of an eighth of a whole note'], 'Verb': ['give off unsteady sounds, alternating in amplitude or frequency', 'sing or play with trills, alternating with the half note above or below']}",
queasy,"{'Adjective': ['causing or able to cause nausea', 'feeling nausea; feeling about to vomit', 'causing or fraught with or showing anxiety']}",
quay,{'Noun': ['wharf usually built parallel to the shoreline']},
quintuplc,,
quittance,"{'Noun': ['a document or receipt certifying release from an obligation or debt', 'payment of a debt or obligation']}",
qulvcr,,
quixotlc,,
quizzical,"{'Adjective': ['playfully vexing (especially by ridicule', 'perplexed (as if being expected to know something that you do not know']}",
rabid,"{'Adjective': ['of or infected by rabies', 'marked by excessive enthusiasm for and intense devotion to a cause or idea']}",
ralfish,,
rakish,"{'Adjective': ['marked by up-to-dateness in dress and manners', 'marked by a carefree unconventionality or disreputableness']}",
ramity,,
ramshackle,{'Adjective': ['in deplorable condition']},
rncorous,,
rpacious,,
rucous,,
ravenous,"{'Adjective': ['extremely hungry', 'devouring or craving food in great quantities']}",
recant,"{'Verb': ['formally reject or disavow a formerly held belief, usually under pressure']}",
recapitulate,"{'Verb': ['summarize briefly', 'repeat stages of evolutionary development during the embryonic phase of life', 'repeat an earlier theme of a composition']}",
recompense,"{'Noun': ['payment or reward (as for service rendered', 'the act of compensating for service or loss or injury'], 'Verb': ['make amends for; pay compensation for', 'make payment to; compensate']}",
recondite,{'Adjective': ['difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge']},
recumbent,{'Adjective': ['lying down; in a position of comfort or rest']},
recuperate,"{'Verb': ['regain or make up for', 'regain a former condition after a financial loss', 'restore to good health or strength', 'get over an illness or shock']}",
redoubtable,"{'Adjective': ['inspiring fear', 'worthy of respect or honor']}",
refractory,"{'Noun': ['lining consisting of material with a high melting point; used to line the inside walls of a furnace'], 'Adjective': ['not responding to treatment', 'temporarily unresponsive or not fully responsive to a process or stimulus', 'stubbornly resistant to authority or control']}",
refurbish,{'Verb': ['make brighter and prettier']},
regression,"{'Noun': ['an abnormal state in which development has stopped prematurely', '(psychiatry', 'the relation between selected values of x and observed values of y (from which the most probable value of y can be predicted for any value of x', 'returning to a former state']}",
relterate,,
relegate,"{'Verb': ['refer to another person for decision or judgment', 'assign to a lower position; reduce in rank', 'expel, as if by official decree', 'assign to a class or kind']}",
reminiscence,"{'Noun': ['a mental impression retained and recalled from the past', 'the process of remembering (especially the process of recovering information by mental effort']}",
remiss,"{'Adjective': ['failing in what duty requires', 'or delinquent']}",
remonstrate,"{'Verb': ['argue in protest or opposition', 'present and urge reasons in opposition', 'censure severely or angrily']}",
renaissance,"{'Noun': ['the period of European history at the close of the Middle Ages and the rise of the modern world; a cultural rebirth from the 14th through the middle of the 17th centuries', 'the revival of learning and culture']}",
reprisal,{'Noun': ['a retaliatory action against an enemy in wartime']},
reprobate,"{'Noun': ['a person without moral scruples'], 'Verb': ['reject (documents', 'abandon to eternal damnation', 'express strong disapproval of'], 'Adjective': ['deviating from what is considered moral or right or proper or good']}",
repudiate,"{'Verb': ['cast off', 'refuse to acknowledge, ratify, or recognize as valid', 'refuse to recognize or pay', 'reject as untrue, unfounded, or unjust']}",
resilience,"{'Noun': ['the physical property of a material that can return to its original shape or position after deformation that does not exceed its elastic limit', 'an occurrence of rebounding or springing back']}",
restive,"{'Adjective': ['being in a tense state', 'impatient especially under restriction or delay']}",
resuscitation,{'Noun': ['the act of reviving a person and returning them to consciousness']},
reticent,"{'Adjective': ['temperamentally disinclined to talk', 'cool and formal in manner', 'reluctant to draw attention to yourself']}",
ribald,"{'Noun': ['a ribald person; someone who uses vulgar and offensive language'], 'Adjective': ['humorously vulgar']}",
rivut,,
rotund,"{'Adjective': ['spherical in shape', '(of sounds', 'excessively fat']}",
rumple,"{'Verb': ['disturb the smoothness of', 'to gather something into small wrinkles or folds', 'become wrinkled or crumpled or creased']}",
sacrosanct,{'Adjective': ['must be kept sacred']},
sagacious,"{'Adjective': ['acutely insightful and wise', 'skillful in statecraft or management']}",
sally,"{'Noun': ['witty remark', 'a military action in which besieged troops burst forth from their position', 'a venture off the beaten path']}",
salubrious,"{'Adjective': ['promoting health; healthful', 'favorable to health of mind or body']}",
sanguine,"{'Noun': ['a blood-red color'], 'Adjective': ['confidently optimistic and cheerful', 'inclined to a healthy reddish color often associated with outdoor life']}",
scruple,"{'Noun': ['a unit of apothecary weight equal to 20 grains', 'uneasiness about the fitness of an action', 'an ethical or moral principle that inhibits action'], 'Verb': ['hesitate on moral grounds', 'raise scruples', 'have doubts about']}",
scrupulous,"{'Adjective': ['having scruples; arising from a sense of right and wrong; principled', 'characterized by extreme care and great effort']}",
seamy,"{'Adjective': ['showing a seam', 'morally degraded']}",
sedulous,{'Adjective': ['marked by care and persistent effort']},
seminal,"{'Adjective': ['pertaining to or containing or consisting of semen', 'containing seeds of later development']}",
sere,{'Adjective': ['(used especially of vegetation']},
shard,{'Noun': ['a broken piece of a brittle artifact']},
shibboleth,"{'Noun': ['a favorite saying of a sect or political group', 'a manner of speaking that is distinctive of a particular group of people']}",
shiftless,{'Adjective': ['lacking or characterized by lack of ambition or initiative; lazy']},
shrew,"{'Noun': ['a scolding nagging bad-tempered woman', 'small mouselike mammal with a long snout; related to moles']}",
sidereal,"{'Adjective': ['of or relating to the stars or constellations', '(of divisions of time']}",
simper,"{'Noun': ['a silly self-conscious smile'], 'Verb': ['smile affectedly or derisively']}",
simulate,"{'Verb': [""reproduce someone's behavior or looks"", 'create a representation or model of', 'make a pretence of']}",
sinew,"{'Noun': ['a cord or band of inelastic tissue connecting a muscle with its bony attachment', 'possessing muscular strength']}",
sinuous,"{'Adjective': ['curved or curving in and out', 'gracefully thin and bending and moving with ease']}",
sire,"{'Noun': ['a title of address formerly used for a man of rank and authority', 'the founder of a family', 'male parent of an animal especially a domestic animal such as a horse'], 'Verb': ['make (offspring']}",
skiff,{'Noun': ['any of various small boats propelled by oars or by sails or by a motor']},
skinflint,{'Noun': ['a selfish person who is unwilling to give or spend']},
skittish,{'Adjective': ['unpredictably excitable (especially of horses']},
o,"{'Noun': [""a nonmetallic bivalent element that is normally a colorless odorless tasteless nonflammable diatomic gas; constitutes 21 percent of the atmosphere by volume; the most abundant element in the earth's crust"", 'the 15th letter of the Roman alphabet', 'the blood group whose red cells carry neither the A nor B antigens']}",
elake,,
sleight,{'Noun': ['adroitness in using the hands']},
sobriquet,"{'Noun': [""a familiar name for a person (often a shortened version of a person's given name""]}",
sodden,"{'Adjective': ['wet through and through; thoroughly wet', 'or soaked']}",
solicitude,{'Noun': ['a feeling of excessive concern']},
sop,"{'Noun': ['piece of solid food for dipping in a liquid', 'a concession given to mollify or placate', 'a prescribed procedure to be followed routinely'], 'Verb': ['give a conciliatory gift or bribe to', 'be or become thoroughly soaked or saturated with a liquid', 'dip into liquid', 'cover with liquid; pour liquid onto']}",
soporific,"{'Noun': ['a drug that induces sleep'], 'Adjective': ['sleep inducing', 'inducing mental lethargy']}",
sordid,"{'Adjective': ['morally degraded', 'unethical or dishonest', 'foul and run-down and repulsive', 'meanly avaricious and mercenary']}",
sphinx,"{'Noun': ['an inscrutable person who keeps his thoughts and intentions secret', '(Greek mythology', 'one of a number of large stone statues with the body of a lion and the head of a man that were built by the ancient Egyptians']}",
squalid,"{'Adjective': ['morally degraded', 'foul and run-down and repulsive']}",
squeamish,{'Adjective': ['excessively fastidious and easily disgusted']},
stentorian,{'Adjective': ['(used of the voice or sound']},
sterling,"{'Noun': ['British money; especially the pound sterling as the basic monetary unit of the UK'], 'Adjective': ['highest in quality']}",
stickler,{'Noun': ['someone who insists on something']},
stipulate,"{'Verb': ['specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement', 'give a guarantee or promise of', 'make an oral contract or agreement in the verbal form of question and answer that is necessary to give it legal force']}",
stodgy,"{'Adjective': ['heavy and starchy and hard to digest', '(used pejoratively', 'excessively conventional and unimaginative and hence dull']}",
stoical,{'Adjective': ['seeming unaffected by pleasure or pain; impassive']},
stolid,{'Adjective': ['having or revealing little emotion or sensibility; not easily aroused or excited']},
striated,{'Verb': ['mark with striae or striations']},
stricture,"{'Noun': ['abnormal narrowing of a bodily canal or passageway', 'severe criticism']}",
stupefy,"{'Verb': ['make dull or stupid or muddle with drunkenness or infatuation', 'be a mystery or bewildering to', 'make senseless or dizzy by or as if by a blow']}",
stupendous,{'Adjective': ['so great in size or force or extent as to elicit awe']},
subom,,
subpoona,,
succinct,{'Adjective': ['briefly giving the gist of something']},
succor,"{'Noun': ['assistance in time of difficulty'], 'Verb': ['help in a difficult situation']}",
sumptuous,{'Adjective': ['ostentatiously rich and superior in quality']},
sudernal,,
supurnumerar,,
sudanane,,
supine,"{'Adjective': ['lying face upward', 'passive as a result of indolence or indifference']}",
suppliant,"{'Noun': ['one praying humbly for something'], 'Adjective': ['humbly entreating']}",
supplicate,"{'Verb': ['ask humbly (for something', 'make a humble, earnest petition', 'ask for humbly or earnestly, as in prayer']}",
surcease,{'Noun': ['a stopping']},
surfeit,"{'Noun': ['the state of being more than full', 'the quality of being so overabundant that prices fall', 'eating until excessively full'], 'Verb': ['supply or feed to surfeit', ""indulge (one's appetite""]}",
surmise,"{'Noun': ['a message expressing an opinion based on incomplete evidence'], 'Verb': ['infer from incomplete evidence', 'imagine to be the case or true or probable']}",
surrogate,"{'Noun': ['someone who takes the place of another person', 'a person appointed to represent or act on behalf of others'], 'Adjective': ['providing or receiving nurture or parental care though not related by blood or legal ties']}",
susceptibility,{'Noun': ['the state of being susceptible; easily affected']},
swill,"{'Noun': ['wet feed (especially for pigs'], 'Verb': ['feed pigs', 'drink large quantities of (liquid, especially alcoholic drink']}",
sylvan,"{'Noun': ['a spirit that lives in or frequents the woods'], 'Adjective': ['relating to or characteristic of wooded regions']}",
synchronism,{'Noun': ['the relation that exists when things occur at the same time']},
taciturm,,
tamp,"{'Noun': ['a tool for tamping (e.g., for tamping tobacco into a pipe bowl or a charge into a drill hole etc.'], 'Verb': ['press down tightly']}",
tantamount,{'Adjective': ['being essentially equal to something']},
tardy,{'Adjective': ['after the expected or usual time; delayed']},
tautology,"{'Noun': ['(logic', 'useless repetition']}",
taxidermy,{'Noun': ['the art of mounting the skins of animals so that they have lifelike appearance']},
temerity,{'Noun': ['fearless daring']},
temperance,"{'Noun': ['the trait of avoiding excesses', 'abstaining from excess', 'the act of tempering']}",
temporal,"{'Noun': ['the semantic role of the noun phrase that designates the time of the state or action denoted by the verb'], 'Adjective': ['not eternal', 'of or relating to or limited by time', 'of or relating to the temples (the sides of the skull behind the orbit', 'characteristic of or devoted to the temporal world as opposed to the spiritual world', 'of this earth or world']}",
temporise,{'Verb': ['draw out a discussion or process in order to gain time']},
tunacity,,
tondentious,,
terse,{'Adjective': ['brief and to the point; effectively cut short']},
thrall,"{'Noun': ['the state of being under the control of another person', 'someone held in bondage']}",
timorous,{'Adjective': ['timid by nature or revealing timidity']},
tincture,"{'Noun': ['a substance that colors or dyes', 'an indication that something has been present', 'a quality of a given color that differs slightly from another color', '(pharmacology'], 'Verb': ['fill, as with a certain quality', 'stain or tinge with a slight amount of a color']}",
tinsel,"{'Noun': ['a showy decoration that is basically valueless', 'a thread with glittering metal foil attached'], 'Verb': ['impart a cheap brightness to', 'adorn with tinsel', 'interweave with tinsel']}",
titillate,"{'Verb': ['touch (a body part', 'excite pleasurably or erotically']}",
toadv,,
topography,"{'Noun': ['the configuration of a surface and the relations among its man-made and natural features', 'precise detailed study of the surface features of a region']}",
torpid,"{'Adjective': ['slow and apathetic', 'in a condition of biological rest or suspended animation']}",
torpor,"{'Noun': ['a state of motor and mental inactivity with a partial suspension of sensibility', 'inactivity resulting from lethargy and lack of vigor or energy']}",
torque,{'Noun': ['a twisting force']},
tractable,"{'Adjective': ['easily managed (controlled or taught or molded', 'responsive to suggestions and influences']}",
transfigure,"{'Verb': [""elevate or idealize, in allusion to Christ's transfiguration"", 'change completely the nature or appearance of']}",
transfix,"{'Verb': ['to render motionless, as with a fixed stare or by arousing terror or awe', 'pierce with a sharp stake or point']}",
transitor,,
transvestite,"{'Noun': ['someone who adopts the dress or manner or sexual role of the opposite sex'], 'Adjective': ['receiving sexual gratification from wearing clothing of the opposite sex']}",
travail,"{'Noun': ['concluding state of pregnancy; from the onset of contractions to the birth of a child', 'use of physical or mental energy; hard work'], 'Verb': ['work hard']}",
traverse,"{'Noun': ['a horizontal beam that extends across something', 'a horizontal crosspiece across a window or separating a door from a window over it', 'taking a zigzag path on skis', 'travel across'], 'Verb': ['travel across or pass over', 'to cover or extend over an area or time period', 'deny formally (an allegation of fact by the opposing party']}",
travesty,"{'Noun': ['a comedy characterized by broad satire and improbable situations', ""a composition that imitates or misrepresents somebody's style, usually in a humorous way""], 'Verb': ['make a travesty of']}",
trite,{'Adjective': ['repeated too often; overfamiliar through overuse']},
truce,{'Noun': ['a state of peace agreed to between opponents so they can discuss peace terms']},
trudge,"{'Noun': ['a long difficult walk'], 'Verb': ['walk heavily and firmly, as when weary, or through mud']}",
truism,{'Noun': ['an obvious truth']},
truncate,"{'Verb': ['replace a corner by a plane', 'approximate by ignoring all terms beyond a chosen one', 'make shorter as if by cutting off'], 'Adjective': ['terminating abruptly by having or as if having an end or point cut off']}",
tryst,"{'Noun': ['a date; usually with a member of the opposite sex', 'a secret rendezvous (especially between lovers']}",
tumid,"{'Adjective': ['ostentatiously lofty in style', 'abnormally distended especially by fluids or gas', 'or puffy', 'of sexual organs; stiff and rigid']}",
turbid,{'Adjective': ['(of liquids']},
tutelage,"{'Noun': ['teaching pupils individually (usually by a tutor hired privately', 'attention and management implying responsibility for safety']}",
ubiquitous,{'Adjective': ['being present everywhere at once']},
ululate,{'Verb': ['emit long loud cries']},
umbra,{'Noun': ['a region of complete shadow resulting from total obstruction of light']},
umbrage,{'Noun': ['a feeling of anger caused by being offended']},
undulate,"{'Verb': ['stir up (water', 'occur in soft rounded shapes', 'move in a wavy pattern or with a rising and falling motion', 'increase and decrease in volume or pitch, as if in waves'], 'Adjective': ['having a wavy margin and rippled surface']}",
unencumbered,"{'Adjective': ['free of encumbrance', 'not burdened with cares or responsibilities']}",
unequivocal,"{'Adjective': ['admitting of no doubt or misunderstanding; having only one meaning or interpretation and leading to only one conclusion', 'or univocal', 'clearly defined or formulated']}",
uniounded,,
unhinge,"{'Verb': ['disturb in mind or make uneasy or cause to be worried or alarmed', 'remove the hinges from']}",
unmitigated,{'Adjective': ['not diminished or moderated in intensity or severity; sometimes used as an intensifier']},
unpalatable,{'Adjective': ['not pleasant or acceptable to the taste or mind']},
unscrupulous,{'Adjective': ['without scruples or principles']},
unversed,{'Adjective': ['not having had extensive practice']},
unwan,,
unwieldy,"{'Adjective': ['difficult to use or handle or manage because of size or weight or shape', 'difficult to work or manipulate', 'lacking grace in movement or posture']}",
upbraid,{'Verb': ['express criticism towards']},
upbraid,{'Verb': ['express criticism towards']},
upheaval,"{'Noun': ['a state of violent disturbance and disorder (as in politics or social conditions generally', 'a violent disturbance', '(geology', 'as in the process of mountain building', 'disturbance usually in protest']}",
usurer,{'Noun': ['someone who lends money at excessive rates of interest']},
utilitarian,"{'Noun': ['someone who believes that the value of a thing depends on its utility'], 'Adjective': ['having a useful function', 'having utility often to the exclusion of values']}",
urorious,,
vacuous,"{'Adjective': ['devoid of intelligence or thought', 'devoid of significance or force', 'devoid of matter']}",
vagary,"{'Noun': [""an unexpected and inexplicable change in something (in a situation or a person's behavior, etc.""]}",
valorous,{'Adjective': ['having or showing valor']},
vapid,"{'Adjective': ['lacking taste or flavor or tang', 'lacking significance or liveliness or spirit or zest']}",
vasectomy,{'Noun': ['surgical procedure that removes all or part of the vas deferens (usually as a means of sterilization']},
vavnt,,
vehemence,"{'Noun': ['intensity or forcefulness of expression', 'the property of being wild or turbulent']}",
venal,{'Adjective': ['capable of being corrupted']},
veneer,"{'Noun': ['coating consisting of a thin layer of superior wood glued to a base of inferior wood', 'an ornamental coating to a building'], 'Verb': ['cover with veneer']}",
veneration,"{'Noun': ['a feeling of profound respect for someone or something', 'religious zeal; the willingness to serve God']}",
venial,"{'Adjective': ['warranting only temporal punishment', 'easily excused or forgiven']}",
verbatim,"{'Adjective': ['in precisely the same words used by a writer or speaker'], 'Adverb': ['using exactly the same words']}",
verbiage,"{'Noun': ['overabundance of words', 'the manner in which something is expressed in words']}",
vendose,,
veritable,"{'Adjective': ['often used as intensifiers', 'not counterfeit or copied']}",
vertigo,{'Noun': ['a reeling sensation; a feeling that you are about to fall']},
vestibule,"{'Noun': ['a large entrance or reception room or area', 'any of various bodily cavities leading to another cavity (as of the ear or vagina']}",
viaduct,{'Noun': ['bridge consisting of a series of arches supported by piers used to carry a road (or railroad']},
vlbes,,
vicarious,"{'Adjective': ['experienced at secondhand', 'occurring in an abnormal part of the body instead of the usual site involved in that function', 'suffered or done by one person as a substitute for another']}",
viradinous,,
virago,"{'Noun': ['a noisy or scolding or domineering woman', 'a large strong and aggressive woman']}",
virology,{'Noun': ['the branch of medical science that studies viruses and viral diseases']},
virtuoso,"{'Noun': ['someone who is dazzlingly skilled in any field', 'a musician who is a consummate master of technique and artistry'], 'Adjective': ['having or revealing supreme mastery or skill']}",
virulence,"{'Noun': ['extreme harmfulness (as the capacity of a microorganism to cause disease', 'extreme hostility']}",
volubility,{'Noun': ['the quality of being facile in speech and writing']},
volubie,,
vouchsafe,{'Verb': ['grant in a condescending manner']},
waffle,"{'Noun': ['pancake batter baked in a waffle iron'], 'Verb': ['pause or hold back in uncertainty or unwillingness']}",
waft,"{'Noun': ['a long flag; often tapering'], 'Verb': ['be driven or carried along, as by the air', 'blow gently']}",
wallop,"{'Noun': ['a forceful consequence; a strong effect', 'a severe blow'], 'Verb': ['hit hard', 'defeat soundly and utterly']}",
wallow,"{'Noun': ['a puddle where animals go to wallow', 'an indolent or clumsy rolling about'], 'Verb': ['devote oneself entirely to something; indulge in to an immoderate degree, usually with pleasure', 'roll around', 'rise up as if in waves', 'be ecstatic with joy', 'delight greatly in']}",
warlock,{'Noun': ['a male witch or demon']},
waspish,{'Adjective': ['very irritable']},
waylay,{'Verb': ['wait in hiding to attack']},
citer,,
wund,,
yahoo,"{'Noun': ['a person who is not very intelligent or interested in culture', 'one of a race of brutes resembling men but subject to the Houyhnhnms in a novel by Jonathan Swift', 'a widely used search engine for the web that finds information, news, images, products, finance']}",
accolade,{'Noun': ['a tangible symbol signifying approval or distinction']},
accoutremont,,
acephalous,{'Adjective': ['lacking a head or a clearly defined head']},
acolyte,{'Noun': ['someone who assists a priest or minister in a liturgical service; a cleric ordained in the highest of the minor orders in the Roman Catholic Church but not in the Anglican Church or the Eastern Orthodox Churches']},
adscittious,,
afflatus,{'Noun': ['a strong creative impulse; divine inspiration']},
affusion,{'Noun': ['the act of baptizing someone by pouring water on their head']},
aficionado,"{'Noun': ['a fan of bull fighting', 'a serious devotee of some particular music genre or musical performer']}",
agnate,"{'Noun': [""one related on the father's side""], 'Adjective': [""related on the father's side""]}",
allegro,"{'Noun': ['a brisk and lively tempo', 'a musical composition or musical passage to be performed quickly in a brisk lively manner'], 'Adjective': ['(of tempo'], 'Adverb': ['in a quick and lively tempo']}",
altruism,{'Noun': ['the quality of unselfish concern for the welfare of others']},
amanuensis,{'Noun': ['someone skilled in the transcription of speech (especially dictation']},
amazon,"{'Noun': ['a large strong and aggressive woman', '(Greek mythology', 'who burned off the right breast in order to use a bow and arrow more effectively', ""a major South American river; arises in the Andes and flows eastward into the South Atlantic; the world's 2nd longest river (4000 miles"", 'mainly green tropical American parrots']}",
anagnorisis,,
animadvert,"{'Verb': [""express one's opinion openly and without fear or hesitation"", 'express blame or censure or make a harshly critical remark']}",
antebellum,{'Adjective': ['belonging to a period before a war especially the American Civil War']},
antediluvian,"{'Noun': ['any of the early patriarchs who lived prior to the Noachian deluge', 'a very old person'], 'Adjective': ['of or relating to the period before the biblical flood', 'so extremely old as seeming to belong to an earlier period']}",
anthropomorphic,{'Adjective': ['suggesting human characteristics for animals or inanimate things']},
antiquary,{'Noun': ['an expert or collector of antiquities']},
aperitif,{'Noun': ['alcoholic beverage taken before a meal as an appetizer']},
aphorism,{'Noun': ['a short pithy instructive saying']},
apocalypse,"{'Noun': ['a cosmic cataclysm in which God destroys the ruling powers of evil', 'the last book of the New Testament; contains visionary descriptions of heaven and of conflicts between good and evil and of the end of the world; attributed to Saint John the Apostle']}",
apocryphal,"{'Adjective': ['being of questionable authenticity', 'of or belonging to the Apocrypha']}",
apologilst,,
apostasy,"{'Noun': ['the state of having rejected your religious beliefs or your political party or a cause (often in favor of opposing beliefs or causes', 'the act of abandoning a party for cause']}",
apostasy,"{'Noun': ['the state of having rejected your religious beliefs or your political party or a cause (often in favor of opposing beliefs or causes', 'the act of abandoning a party for cause']}",
apothccary,,
apothcosis,,
apotheosis,"{'Noun': ['model of excellence or perfection of a kind; one having no equal', 'the elevation of a person (as to the status of a god']}",
appellation,"{'Noun': ['identifying word or words by which someone or something is called and classified or distinguished from others', 'a geographical indication used to identify where the grapes for a wine are grown']}",
apposite,{'Adjective': ['being of striking appropriateness and pertinence']},
arabesque,"{'Noun': ['position in which the dancer has one leg raised behind and arms outstretched in a conventional pose', 'an ornament that interlaces simulated foliage in an intricate design']}",
jrporea,,
arralgn,,
arrovo,,
aspersion,"{'Noun': ['a disparaging remark', ""an abusive attack on a person's character or good name"", 'the act of sprinkling water in baptism (rare']}",
assiduous,{'Adjective': ['marked by care and persistent effort']},
atclicr,,
atrabillous,,
atticlsm,,
bacchanalan,,
bailiff,{'Noun': ['an officer of the court who is employed to execute writs and processes and make arrests etc.']},
bairn,{'Noun': ['a child: son or daughter']},
banns,{'Noun': ['a public announcement of a proposed marriage']},
barmecide,,
baroque,"{'Noun': ['the historic period from about 1600 until 1750 when the baroque style of art, architecture, and music flourished in Europe', 'elaborate and extensive ornamentation in decorative art and architecture that flourished in Europe in the 17th century'], 'Adjective': ['having elaborate symmetrical ornamentation', 'of or relating to or characteristic of the elaborately ornamented style of architecture, art, and music popular in Europe between 1600 and 1750']}",
behemoth,"{'Noun': ['someone or something that is abnormally large and powerful', 'a person of exceptional importance and reputation']}",
betrothed,"{'Noun': ['the person to whom you are engaged'], 'Verb': ['give to in marriage'], 'Adjective': ['pledged to be married']}",
bibulou,,
bionic,"{'Adjective': ['of or relating to bionics', 'having particular physiological functions augmented or replaced by electronic or electromechanical components']}",
bivouac,"{'Noun': ['temporary living quarters specially built by the army for soldiers', 'a site where people on holiday can pitch a tent'], 'Verb': ['live in or as if in a tent']}",
blandishment,"{'Noun': ['flattery intended to persuade', 'the act of urging by means of teasing or flattery']}",
bluestocking,{'Noun': ['a woman having literary or intellectual interests']},
bodkin,"{'Noun': ['a dagger with a slender blade', 'formerly a long hairpin; usually with an ornamental head', 'a small sharp-pointed tool for punching holes in leather or fabric', 'a blunt needle for threading ribbon through loops']}",
bonmot,,
buccanee,,
bugbear,"{'Noun': ['an imaginary monster used to frighten children', 'an object of dread or apprehension']}",
bumptious,{'Adjective': ['offensively self-assertive']},
burgeon,{'Verb': ['grow and flourish']},
burgess,"{'Noun': ['English writer of satirical novels (1917-1993', 'a citizen of an English borough']}",
caboodle,{'Noun': ['any collection in its entirety']},
cachet,"{'Noun': ['an indication of approved or superior status', 'a warrant formerly issued by a French king who could warrant imprisonment or death in a signed letter under his seal', 'a seal on a letter']}",
cadgc,,
calllsthcnics,,
canalllc,,
cantankerous,"{'Adjective': ['stubbornly obstructive and unwilling to cooperate', 'having a difficult and contrary disposition']}",
carapace,{'Noun': ['hard outer covering or case of certain organisms such as arthropods and turtles']},
carousai,,
carouse,"{'Noun': ['revelry in drinking; a merry drinking party'], 'Verb': ['engage in boisterous, drunken merrymaking']}",
carteblanche,,
castigation,"{'Noun': ['a severe scolding', 'verbal punishment']}",
casuistry,"{'Noun': ['argumentation that is specious or excessively subtle and intended to be misleading', 'moral philosophy based on the application of general ethical principles to resolve moral dilemmas']}",
cataclysm,"{'Noun': [""a sudden violent change in the earth's surface"", 'an event resulting in great loss and misfortune']}",
caveat,{'Noun': ['a warning against certain acts']},
certitude,{'Noun': ['total certainty or greater certainty than circumstances warrant']},
chagrin,"{'Noun': ['strong feelings of embarrassment'], 'Verb': ['cause to feel shame; hurt the pride of']}",
chicanery,{'Noun': ['the use of tricks to deceive someone (usually to extract money from them']},
chimera,"{'Noun': ['(Greek mythology', 'a grotesque product of the imagination']}",
chutzpah,{'Noun': ['(Yiddish']},
cod,"{'Noun': ['the vessel that contains the seeds of a plant (not the seeds themselves', 'lean white flesh of important North Atlantic food fish; usually baked or poached', 'major food fish of Arctic and cold-temperate waters'], 'Verb': ['fool or hoax', 'harass with persistent criticism or carping'], 'Adjective': ['payable by the recipient on delivery'], 'Adverb': ['collecting the charges upon delivery']}",
cogitate,"{'Verb': [""consider carefully and deeply; reflect upon; turn over in one's mind"", ""use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments""]}",
comestibles,{'Noun': ['any substance that can be used as food']},
commiserate,{'Verb': ['to feel or express sympathy or compassion']},
compunction,{'Noun': ['a feeling of deep regret (usually for some misdeed']},
concatenate,"{'Verb': ['combine two strings to form a single one', 'add by linking or joining so as to form a chain or series']}",
concussion,"{'Noun': ['injury to the brain caused by a blow; usually resulting in loss of consciousness', 'any violent blow']}",
conjoin,"{'Verb': ['make contact or come together', 'take in marriage']}",
conscript,"{'Noun': ['someone who is drafted into military service'], 'Verb': ['enroll into service compulsorily']}",
consecrate,"{'Verb': ['appoint to a clerical posts', 'give entirely to a specific person, activity, or cause', 'dedicate to a deity by a vow', 'render holy by means of religious rites'], 'Adjective': ['solemnly dedicated to or set apart for a high or sacred purpose']}",
contretemps,{'Noun': ['an awkward clash']},
contrilo,,
contumacious,{'Adjective': ['wilfully obstinate; stubbornly disobedient']},
conundrum,{'Noun': ['a difficult problem']},
convalesce,{'Verb': ['get over an illness or shock']},
convoke,{'Verb': ['call together']},
cornucopia,"{'Noun': [""a goat's horn filled with grain and flowers and fruit symbolizing prosperity"", 'the property of being extremely abundant']}",
curmudgeon,{'Noun': ['a crusty irascible cantankerous old person full of stubborn ideas']},
dastardly,{'Adjective': ['despicably cowardly']},
decapitate,{'Verb': ['cut the head of']},
declivity,{'Noun': ['a downward slope or bend']},
decrepit,"{'Adjective': ['worn and broken down by hard use', 'lacking bodily or muscular strength or vitality']}",
delectation,"{'Noun': ['a feeling of extreme pleasure or satisfaction', 'act of receiving pleasure from something']}",
deleterious,{'Adjective': ['harmful to living things']},
delinquent,"{'Noun': ['a young offender'], 'Adjective': ['guilty of a misdeed', 'failing in what duty requires', 'or delinquent', 'past due; not paid at the scheduled time']}",
delirium,"{'Noun': ['state of violent mental agitation', 'a usually brief state of excitement and mental confusion often accompanied by hallucinations']}",
demagogue,{'Noun': ['a political leader who seeks support by appealing to popular passions and prejudices']},
denoucment,,
dereliction,"{'Noun': ['a tendency to be negligent and uncaring', 'willful negligence']}",
dereliction,"{'Noun': ['a tendency to be negligent and uncaring', 'willful negligence']}",
